iter	Tweedie:variance_power=1.5
0	13.85828149
1	13.50512148
2	13.17390504
3	12.8647161
4	12.58106822
5	12.31813653
6	12.0703804
7	11.84245804
8	11.6301605
9	11.43406942
10	11.25294017
11	11.088019
12	10.93155875
13	10.79202642
14	10.66035961
15	10.54019372
16	10.42975265
17	10.32857421
18	10.23693655
19	10.14785911
20	10.0683216
21	9.995417183
22	9.930849548
23	9.869311647
24	9.814379949
25	9.763500768
26	9.717371421
27	9.674825429
28	9.6365894
29	9.601828092
30	9.568784219
31	9.537732669
32	9.511070887
33	9.484939106
34	9.46095951
35	9.438351921
36	9.419442626
37	9.401019286
38	9.384951172
39	9.368982837
40	9.355730068
41	9.34235402
42	9.330177055
43	9.319173507
44	9.308632326
45	9.298732095
46	9.28756498
47	9.278234608
48	9.269446586
49	9.261380285
50	9.255032603
51	9.24800604
52	9.242186402
53	9.237040913
54	9.23190201
55	9.227084712
56	9.223047063
57	9.218959547
58	9.213775482
59	9.209634503
60	9.203075896
61	9.198779926
62	9.195179779
63	9.190687823
64	9.186411981
65	9.181427575
66	9.177915223
67	9.174448412
68	9.170503203
69	9.166372638
70	9.163868058
71	9.161438679
72	9.159222303
73	9.156435294
74	9.154388269
75	9.151596625
76	9.149331281
77	9.146354367
78	9.142985188
79	9.141437109
80	9.139624648
81	9.137358148
82	9.134721008
83	9.133228072
84	9.129980614
85	9.127961129
86	9.124736311
87	9.123082928
88	9.121120945
89	9.118518465
90	9.115512109
91	9.114089544
92	9.111732517
93	9.110007753
94	9.108335952
95	9.106413374
96	9.104181386
97	9.102505555
98	9.100817881
99	9.099236026
100	9.097590217
101	9.095711576
102	9.09454973
103	9.092505025
104	9.091138336
105	9.089587321
106	9.088025188
107	9.084555815
108	9.083420526
109	9.081879297
110	9.080136596
111	9.0776403
112	9.076430583
113	9.074855654
114	9.072981794
115	9.071027411
116	9.068678432
117	9.067889868
118	9.066088921
119	9.064262904
120	9.062834343
121	9.061761766
122	9.060328041
123	9.0584233
124	9.05675984
125	9.055389036
126	9.054240039
127	9.052654911
128	9.051274197
129	9.05019987
130	9.049029485
131	9.04798387
132	9.046813363
133	9.045895401
134	9.044897622
135	9.043494075
136	9.04259175
137	9.041317151
138	9.040488649
139	9.039923691
140	9.038741297
141	9.038210591
142	9.036916013
143	9.035603732
144	9.034384986
145	9.033120253
146	9.032176213
147	9.03039779
148	9.029389481
149	9.027848125
150	9.026560109
151	9.025476985
152	9.024058395
153	9.022870379
154	9.021141087
155	9.019927624
156	9.019227055
157	9.017628818
158	9.016194408
159	9.014671981
160	9.013696873
161	9.012556605
162	9.011083834
163	9.009820988
164	9.008347041
165	9.006803848
166	9.005690174
167	9.004629888
168	9.003074453
169	9.00222024
170	9.000539934
171	9.000086214
172	8.998704108
173	8.996527816
174	8.995052107
175	8.993865591
176	8.992809857
177	8.991389896
178	8.990733987
179	8.990166226
180	8.98897097
181	8.987903365
182	8.987318332
183	8.986185149
184	8.984624413
185	8.983643349
186	8.982671861
187	8.98153391
188	8.980234404
189	8.978483135
190	8.977006522
191	8.976004114
192	8.974887843
193	8.973889785
194	8.972980995
195	8.971883614
196	8.97090408
197	8.970341565
198	8.968521763
199	8.967124552
200	8.966382184
201	8.965123893
202	8.964435915
203	8.96357173
204	8.962654507
205	8.96167147
206	8.960610439
207	8.959265251
208	8.958510016
209	8.957000299
210	8.955749546
211	8.954868125
212	8.953962177
213	8.952236573
214	8.951630483
215	8.950538712
216	8.949767406
217	8.948690929
218	8.948138222
219	8.94723891
220	8.945987763
221	8.945189151
222	8.944380598
223	8.943574911
224	8.942331198
225	8.941656867
226	8.940460756
227	8.939340605
228	8.938601839
229	8.937346623
230	8.936315133
231	8.935482542
232	8.934715273
233	8.933841143
234	8.932917967
235	8.931204988
236	8.930041258
237	8.92931758
238	8.928701606
239	8.92768204
240	8.92705884
241	8.925977683
242	8.925151615
243	8.92391661
244	8.923259926
245	8.921782289
246	8.920220406
247	8.919526165
248	8.918104338
249	8.916967079
250	8.915665381
251	8.914946505
252	8.91383931
253	8.913030211
254	8.912191158
255	8.911147392
256	8.910313464
257	8.909158446
258	8.908522991
259	8.907428267
260	8.906850238
261	8.905939041
262	8.905118626
263	8.904013715
264	8.90325827
265	8.902019428
266	8.901464811
267	8.900815963
268	8.89990955
269	8.898925481
270	8.898249187
271	8.897596165
272	8.896692351
273	8.895777136
274	8.894757218
275	8.894105994
276	8.893632561
277	8.892142633
278	8.891514936
279	8.891256508
280	8.890343168
281	8.888870281
282	8.888090121
283	8.887643716
284	8.886730108
285	8.885630966
286	8.884485748
287	8.883331434
288	8.882926289
289	8.881834679
290	8.880889144
291	8.879655923
292	8.878987594
293	8.878403024
294	8.87745975
295	8.876473055
296	8.875730035
297	8.8747074
298	8.873966234
299	8.873569794
300	8.872679761
301	8.871760707
302	8.871502149
303	8.870529416
304	8.86958063
305	8.86864902
306	8.867973132
307	8.867236304
308	8.866644575
309	8.865810368
310	8.864782666
311	8.864458117
312	8.863773725
313	8.862964893
314	8.862228442
315	8.861621349
316	8.860892505
317	8.860146768
318	8.859520582
319	8.858674497
320	8.858090955
321	8.857569856
322	8.857183762
323	8.856720355
324	8.856008858
325	8.855310256
326	8.854056818
327	8.853510518
328	8.852736473
329	8.851581664
330	8.851064417
331	8.850133396
332	8.84884214
333	8.848120198
334	8.847393783
335	8.846840803
336	8.846135729
337	8.845812202
338	8.845341368
339	8.844469632
340	8.844027034
341	8.843510584
342	8.842838408
343	8.842080152
344	8.841332402
345	8.840816311
346	8.839958546
347	8.838992804
