iter	Passed	Remaining
0	147	73497
1	154	38522
2	162	26876
3	169	21000
4	176	17461
5	183	15104
6	190	13418
7	197	12141
8	204	11163
9	211	10370
10	218	9711
11	225	9181
12	233	8730
13	239	8329
14	246	7986
15	254	7690
16	261	7431
17	268	7190
18	275	6966
19	282	6768
20	288	6589
21	296	6451
22	304	6306
23	310	6164
24	317	6034
25	324	5923
26	331	5815
27	339	5717
28	346	5628
29	354	5549
30	361	5468
31	369	5400
32	375	5320
33	382	5247
34	389	5180
35	397	5116
36	403	5052
37	410	4995
38	417	4939
39	424	4885
40	432	4846
41	440	4805
42	448	4766
43	456	4732
44	464	4698
45	472	4667
46	481	4639
47	489	4611
48	497	4582
49	507	4565
50	516	4546
51	525	4530
52	535	4514
53	544	4495
54	552	4472
55	562	4462
56	572	4453
57	582	4442
58	592	4432
59	601	4413
60	610	4392
61	618	4370
62	626	4343
63	634	4321
64	642	4300
65	651	4282
66	659	4264
67	668	4246
68	677	4233
69	686	4215
70	695	4200
71	702	4178
72	710	4157
73	719	4141
74	728	4126
75	736	4108
76	744	4087
77	752	4068
78	759	4049
79	767	4029
80	775	4011
81	783	3993
82	792	3979
83	799	3960
84	808	3945
85	815	3925
86	823	3907
87	830	3887
88	838	3874
89	846	3857
90	854	3841
91	861	3821
92	869	3807
93	878	3793
94	886	3778
95	894	3763
96	902	3750
97	910	3734
98	918	3719
99	926	3705
100	933	3689
101	941	3672
102	948	3657
103	956	3642
104	965	3630
105	973	3617
106	981	3604
107	989	3591
108	996	3576
109	1005	3565
110	1013	3550
111	1021	3537
112	1028	3523
113	1036	3510
114	1044	3497
115	1053	3486
116	1062	3478
117	1072	3471
118	1081	3462
119	1091	3455
120	1100	3445
121	1109	3436
122	1118	3428
123	1127	3419
124	1138	3414
125	1146	3404
126	1155	3395
127	1165	3387
128	1174	3376
129	1182	3364
130	1190	3352
131	1198	3340
132	1207	3330
133	1215	3319
134	1223	3308
135	1232	3297
136	1240	3286
137	1248	3275
138	1257	3264
139	1265	3253
140	1274	3244
141	1282	3233
142	1290	3221
143	1298	3211
144	1306	3199
145	1315	3189
146	1323	3178
147	1332	3168
148	1340	3157
149	1349	3148
150	1357	3137
151	1366	3127
152	1373	3116
153	1383	3108
154	1392	3099
155	1402	3091
156	1410	3081
157	1420	3074
158	1429	3065
159	1438	3057
160	1447	3047
161	1455	3037
162	1465	3029
163	1474	3021
164	1484	3013
165	1493	3004
166	1502	2995
167	1511	2986
168	1519	2976
169	1528	2966
170	1536	2956
171	1545	2947
172	1554	2938
173	1564	2931
174	1573	2921
175	1581	2911
176	1589	2901
177	1598	2891
178	1606	2881
179	1615	2871
180	1623	2861
181	1631	2851
182	1639	2840
183	1648	2831
184	1658	2824
185	1667	2814
186	1676	2805
187	1684	2795
188	1692	2785
189	1701	2775
190	1710	2767
191	1718	2756
192	1727	2747
193	1734	2736
194	1743	2727
195	1752	2717
196	1760	2708
197	1768	2697
198	1777	2689
199	1786	2679
200	1794	2669
201	1803	2659
202	1810	2649
203	1818	2639
204	1827	2629
205	1834	2618
206	1843	2609
207	1852	2600
208	1859	2589
209	1868	2580
210	1876	2570
211	1884	2560
212	1893	2550
213	1901	2540
214	1908	2530
215	1916	2519
216	1923	2509
217	1932	2499
218	1939	2488
219	1947	2478
220	1955	2469
221	1964	2459
222	1971	2449
223	1979	2439
224	1987	2429
225	1995	2418
226	2002	2408
227	2010	2398
228	2017	2387
229	2025	2378
230	2033	2367
231	2041	2357
232	2048	2347
233	2055	2337
234	2063	2327
235	2071	2317
236	2079	2307
237	2086	2296
238	2094	2287
239	2102	2277
240	2109	2267
241	2118	2258
242	2125	2248
243	2134	2239
244	2141	2229
245	2150	2220
246	2160	2212
247	2168	2203
248	2177	2194
249	2185	2185
250	2194	2176
251	2202	2167
252	2209	2157
253	2217	2147
254	2225	2137
255	2232	2128
256	2240	2118
257	2248	2109
258	2257	2100
259	2265	2091
260	2272	2080
261	2280	2071
262	2287	2061
263	2295	2051
264	2302	2042
265	2310	2032
266	2317	2022
267	2325	2012
268	2332	2003
269	2340	1993
270	2347	1983
271	2354	1973
272	2362	1964
273	2369	1954
274	2377	1945
275	2384	1935
276	2392	1925
277	2400	1916
278	2408	1908
279	2415	1898
280	2423	1888
281	2430	1879
282	2438	1869
283	2445	1859
284	2452	1850
285	2460	1841
286	2468	1832
287	2476	1822
288	2483	1813
289	2491	1803
290	2499	1794
291	2506	1785
292	2514	1776
293	2521	1767
294	2529	1757
295	2537	1749
296	2545	1740
297	2553	1730
298	2560	1721
299	2568	1712
300	2575	1702
301	2583	1693
302	2590	1683
303	2597	1674
304	2605	1665
305	2613	1656
306	2620	1647
307	2628	1638
308	2636	1629
309	2645	1621
310	2653	1612
311	2660	1603
312	2668	1594
313	2675	1585
314	2684	1576
315	2692	1567
316	2699	1558
317	2708	1550
318	2715	1540
319	2723	1531
320	2730	1522
321	2738	1513
322	2745	1504
323	2753	1495
324	2761	1487
325	2769	1478
326	2777	1469
327	2785	1460
328	2793	1452
329	2801	1443
330	2809	1434
331	2816	1425
332	2825	1416
333	2832	1407
334	2840	1399
335	2848	1390
336	2855	1381
337	2863	1372
338	2870	1363
339	2877	1354
340	2885	1345
341	2893	1336
342	2900	1327
343	2908	1318
344	2916	1310
345	2924	1301
346	2932	1292
347	2939	1283
348	2946	1274
349	2954	1266
350	2962	1257
351	2970	1248
352	2977	1240
353	2985	1231
354	2992	1222
355	3000	1213
356	3007	1204
357	3015	1196
358	3023	1187
359	3031	1178
360	3038	1170
361	3046	1161
362	3054	1152
363	3062	1144
364	3069	1135
365	3077	1126
366	3085	1118
367	3092	1109
368	3101	1101
369	3109	1092
370	3117	1083
371	3124	1075
372	3132	1066
373	3140	1057
374	3147	1049
375	3155	1040
376	3163	1032
377	3170	1023
378	3178	1014
379	3186	1006
380	3193	997
381	3201	988
382	3209	980
383	3216	971
384	3223	962
385	3231	954
386	3239	945
387	3247	937
388	3254	928
389	3261	920
390	3269	911
391	3276	902
392	3284	894
393	3291	885
394	3299	877
395	3306	868
396	3314	859
397	3321	851
398	3329	842
399	3336	834
400	3343	825
401	3351	817
402	3359	808
403	3366	800
404	3374	791
405	3382	783
406	3389	774
407	3397	766
408	3405	757
409	3413	749
410	3421	740
411	3428	732
412	3436	723
413	3443	715
414	3451	706
415	3458	698
416	3466	689
417	3474	681
418	3481	673
419	3488	664
420	3495	655
421	3502	647
422	3510	639
423	3518	630
424	3526	622
425	3534	613
426	3542	605
427	3549	597
428	3556	588
429	3564	580
430	3572	571
431	3580	563
432	3590	555
433	3598	547
434	3607	539
435	3616	530
436	3624	522
437	3632	514
438	3641	505
439	3650	497
440	3659	489
441	3668	481
442	3676	472
443	3684	464
444	3692	456
445	3700	448
446	3707	439
447	3715	431
448	3722	422
449	3729	414
450	3737	406
451	3745	397
452	3754	389
453	3762	381
454	3770	372
455	3779	364
456	3788	356
457	3796	348
458	3804	339
459	3812	331
460	3822	323
461	3830	315
462	3839	306
463	3847	298
464	3855	290
465	3863	281
466	3871	273
467	3879	265
468	3887	256
469	3895	248
470	3903	240
471	3912	232
472	3919	223
473	3927	215
474	3934	207
475	3942	198
476	3950	190
477	3958	182
478	3966	173
479	3974	165
480	3982	157
481	3990	149
482	3998	140
483	4006	132
484	4014	124
485	4021	115
486	4028	107
487	4036	99
488	4044	90
489	4051	82
490	4059	74
491	4068	66
492	4076	57
493	4083	49
494	4091	41
495	4099	33
496	4107	24
497	4114	16
498	4121	8
499	4129	0
